pro_title,pro_brand,pro_model,pro_color,数量,normalized_brand,device_category,normalized_model,memory_storage,normalized_color,storage
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,256G,黑色钛金属,5,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+256GB,黑色,未知+256GB
全新国行 Apple iPhone 15 Pro Max,Apple,512G,白色钛金属,59,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,白色,未知+512GB
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,256G,白色钛金属,6,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+256GB,白色,未知+256GB
全新国行 Apple iPhone 15 Pro Max,Apple,256G,原色钛金属,47,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+256GB,金色,未知+256GB
全新国行 Apple iPhone 15 Pro Max,Apple,512G,黑色钛金属,32,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,黑色,未知+512GB
全新国行 Apple iPhone 15 Pro Max,Apple,256G,黑色钛金属,37,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+256GB,黑色,未知+256GB
全新国行 Apple iPhone 15 Pro,Apple,128G,黑色钛金属,2,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+128GB,黑色,未知+128GB
全新国行 Apple iPhone 15 Pro Max,Apple,512G,原色钛金属,48,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,金色,未知+512GB
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,256G,原色钛金属,6,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+256GB,金色,未知+256GB
全新国行 Apple iPhone 15 Pro Max,Apple,256G,白色钛金属,54,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+256GB,白色,未知+256GB
全新国行 Apple iPhone 15,Apple,128G,黑色,2,Apple 苹果,Smartphone,Apple iPhone 15,未知+128GB,黑色,未知+128GB
全新国行 Apple iPhone 15 Pro-租物高分专享 租满6期支持归还,Apple,256G,白色钛金属,2,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+256GB,白色,未知+256GB
全新国行 Apple iPhone 15 Pro-租物高分专享 租满6期支持归还,Apple,512G,白色钛金属,3,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,白色,未知+512GB
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,512G,白色钛金属,9,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,白色,未知+512GB
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,256G,黑色钛金属,7,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+256GB,黑色,未知+256GB
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,512G,蓝色钛金属,3,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,蓝色,未知+512GB
全新国行 Apple iPhone 15 Pro Max,Apple,512G,蓝色钛金属,1,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,蓝色,未知+512GB
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,512G,黑色钛金属,5,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,黑色,未知+512GB
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,256G,白色钛金属,8,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+256GB,白色,未知+256GB
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,512G,黑色钛金属,5,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,黑色,未知+512GB
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,512G,白色钛金属,7,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,白色,未知+512GB
全新国行 Apple iPhone 15 Pro,Apple,256G,原色钛金属,1,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+256GB,金色,未知+256GB
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,512G,原色钛金属,6,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,金色,未知+512GB
全新国行 Apple iPhone 15 Pro,Apple,512G,白色钛金属,9,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,白色,未知+512GB
全新国行 Apple iPhone 15,Apple,256G,蓝色,2,Apple 苹果,Smartphone,Apple iPhone 15,未知+256GB,蓝色,未知+256GB
全新国行 Apple iPhone 15 Pro-租物高分专享 租满6期支持归还,Apple,512G,黑色钛金属,1,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,黑色,未知+512GB
全新国行 Apple iPhone 15 Pro,Apple,256G,白色钛金属,2,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+256GB,白色,未知+256GB
全新国行 Apple iPhone 15 Pro-租物高分专享 租满6期支持归还,Apple,512G,原色钛金属,1,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,金色,未知+512GB
全新国行 Apple iPhone 15,Apple,128G,粉色,2,Apple 苹果,Smartphone,Apple iPhone 15,未知+128GB,粉色,未知+128GB
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/512G,白色钛金属,59,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,白色,未知+5GB
iPhone 15 Pro,Apple,iPhone 15 Pro,白色钛金属,15,Apple 苹果,Smartphone,iPhone 15 Pro,未知,白色,未知
