pro_title,pro_brand,pro_model,pro_color,数量,cleaned_title,standard_model
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,256G,黑色钛金属,5.0,Apple iPhone 15 Pro Max,iPhone 15 Pro Max
全新国行 Apple iPhone 15 Pro Max,Apple,512G,白色钛金属,59.0,Apple iPhone 15 Pro Max,iPhone 15 Pro Max
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,256G,白色钛金属,6.0,Apple iPhone 15 Pro Max,iPhone 15 Pro Max
全新国行 Apple iPhone 15 Pro Max,Apple,256G,原色钛金属,47.0,Apple iPhone 15 Pro Max,iPhone 15 Pro Max
全新国行 Apple iPhone 15 Pro Max,Apple,512G,黑色钛金属,32.0,Apple iPhone 15 Pro Max,iPhone 15 Pro Max
全新国行 Apple iPhone 15 Pro Max,Apple,256G,黑色钛金属,37.0,Apple iPhone 15 Pro Max,iPhone 15 Pro Max
全新国行 Apple iPhone 15 Pro,Apple,128G,黑色钛金属,2.0,Apple iPhone 15 Pro,iPhone 15 Pro
全新国行 Apple iPhone 15 Pro Max,Apple,512G,原色钛金属,48.0,Apple iPhone 15 Pro Max,iPhone 15 Pro Max
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,256G,原色钛金属,6.0,Apple iPhone 15 Pro Max,iPhone 15 Pro Max
全新国行 Apple iPhone 15 Pro Max,Apple,256G,白色钛金属,54.0,Apple iPhone 15 Pro Max,iPhone 15 Pro Max
全新国行 Apple iPhone 15,Apple,128G,黑色,2.0,Apple iPhone 15,iPhone 15
全新国行 Apple iPhone 15 Pro-租物高分专享 租满6期支持归还,Apple,256G,白色钛金属,2.0,Apple iPhone 15 Pro,iPhone 15 Pro
全新国行 Apple iPhone 15 Pro-租物高分专享 租满6期支持归还,Apple,512G,白色钛金属,3.0,Apple iPhone 15 Pro,iPhone 15 Pro
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,512G,白色钛金属,9.0,Apple iPhone 15 Pro Max,iPhone 15 Pro Max
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,256G,黑色钛金属,7.0,Apple iPhone 15 Pro Max,iPhone 15 Pro Max
