pro_title,pro_brand,pro_model,pro_color,数量
iPhone 15 Pro Max,1111,111,12+6,1
NULL,NULL,NULL,NULL,2
AirPods 3,耳机,AirPods 3/蓝牙耳机/充电盒,白色,3
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,256G,黑色钛金属,5
融租-全新国行 iPhone 14-0601（不要动数据！！！）,Apple,"国行全网通,256G",深空灰,3
全新国行 Apple iPhone 15 Pro Max,Apple,512G,白色钛金属,59
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,256G,白色钛金属,6
全新国行 Apple iPhone 15 Pro Max,Apple,256G,原色钛金属,47
全新国行 Apple iPhone 15 Pro Max,Apple,512G,黑色钛金属,32
全新国行 Apple iPhone 15 Pro Max,Apple,256G,黑色钛金属,37
全新国行 Apple iPhone 15 Pro,Apple,128G,黑色钛金属,2
全新国行 Apple iPhone 15 Pro Max,Apple,512G,原色钛金属,48
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,256G,原色钛金属,6
全新国行 Apple iPhone 15 Pro Max,Apple,256G,白色钛金属,54
全新国行 Apple iPhone 15,Apple,128G,黑色,2
全新国行 Apple iPhone 15 Pro-租物高分专享 租满6期支持归还,Apple,256G,白色钛金属,2
全新国行 Apple iPhone 15 Pro-租物高分专享 租满6期支持归还,Apple,512G,白色钛金属,3
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,512G,白色钛金属,9
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,256G,黑色钛金属,7
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,512G,蓝色钛金属,3
全新国行 Apple iPhone 15 Pro Max,Apple,512G,蓝色钛金属,1
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,512G,黑色钛金属,5
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,256G,白色钛金属,8
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,512G,黑色钛金属,5
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,512G,白色钛金属,7
全新国行 Apple iPhone 15 Pro,Apple,256G,原色钛金属,1
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信] 租满6期支持归还,Apple,512G,原色钛金属,6
全新国行 Apple iPhone 15 Pro,Apple,512G,白色钛金属,9
全新国行 Apple iPhone 15,Apple,256G,蓝色,2
全新国行 Apple iPhone 15 Pro-租物高分专享 租满6期支持归还,Apple,512G,黑色钛金属,1
全新国行 Apple iPhone 15 Pro,Apple,256G,白色钛金属,2
全新国行 Apple iPhone 15 Pro-租物高分专享 租满6期支持归还,Apple,512G,原色钛金属,1
全新国行 Apple iPhone 15,Apple,128G,粉色,2
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/512G,白色钛金属,59
iPhone 15 Pro,Apple,iPhone 15 Pro,白色钛金属,1
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/1T,原色钛金属,51
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/256G,黑色钛金属,171
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/256G,白色钛金属,363
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/256G,原色钛金属,817
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/512G,白色钛金属,337
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/128G,白色钛金属,3
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/512G,原色钛金属,424
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/1T,白色钛金属,16
MacBook Air M3 2024款,便携本,MacBook Air M3 2024款/Air M3 2024款/M3芯片/13英寸/8核CPU/8核GPU/8GB/256G,银色,1
AirPods Pro 第二代 2023款,耳机,AirPods Pro 第二代 2023款/USB-C接口/入耳式,白色,8
华为 Mate 60 Pro,华为,华为 Mate 60 Pro/5G全网通/12G+512G,雅丹黑,3
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/512G,原色钛金属,30
HUAWEI WATCH 4 Pro,智能手表,HUAWEI WATCH 4 Pro/约46mm/火星钛 钛金属表带,火星钛,1
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/256G,白色钛金属,15
