机型数据,数量
1111iphone15promax111,1
NULL,3
耳机airpods3airpods3/蓝牙耳机/充电盒,3
apple全新国行appleiphone15promax-租物高分专享[非监管机][不上征信]256g,22
"apple融租-全新国行iphone14-0601（不要动数据！！！）国行全网通,256g",3
apple全新国行appleiphone15promax512g,140
apple全新国行appleiphone15promax-租物高分专享[非监管机][不上征信]租满6期支持归还256g,19
apple全新国行appleiphone15promax256g,141
apple全新国行appleiphone15pro128g,3
apple全新国行appleiphone15128g,4
apple全新国行appleiphone15pro-租物高分专享租满6期支持归还256g,2
apple全新国行appleiphone15pro-租物高分专享租满6期支持归还512g,5
apple全新国行appleiphone15promax-租物高分专享[非监管机][不上征信]租满6期支持归还512g,23
apple全新国行appleiphone15promax-租物高分专享[非监管机][不上征信]512g,17
apple全新国行appleiphone15pro256g,4
apple全新国行appleiphone15pro512g,14
apple全新国行appleiphone15256g,3
苹果iphone15proiphone15pro/5g全网通/512g,101
appleiphone15proiphone15pro,2
苹果iphone15promaxiphone15promax/5g全网通/1t,73
苹果iphone15promaxiphone15promax/5g全网通/256g,1373
苹果iphone15promaxiphone15promax/5g全网通/512g,893
苹果iphone15proiphone15pro/5g全网通/128g,18
便携本macbookairm32024款macbookairm32024款/airm32024款/m3芯片/13英寸/8核cpu/8核gpu/8gb/256g,1
耳机airpodspro第二代2023款airpodspro第二代2023款/usb-c接口/入耳式,8
华为华为mate60pro华为mate60pro/5g全网通/12g+512g,5
智能手表huaweiwatch4prohuaweiwatch4pro/约46mm/火星钛钛金属表带,1
苹果iphone15proiphone15pro/5g全网通/256g,57
智能手表applewatchseries9applewatchseries9/s9/铝金属45mmgps,2
智能手表huaweiwatchgt4huaweiwatchgt4/gt4/46mm云杉绿复合编织表带,1
智能手表oppowatch4prooppowatch4pro/oppowatch4pro/极夜黑氟橡胶表带款,2
vivovivoxfold3provivoxfold3pro/5g全网通/16g+512g,1
小米redmik70redmik70/5g全网通/16g+512g,1
